id,hotel_name,city,phone,email,website,status,date_discovered,audit_notes,last_sent
usa-hotel-019,Comfort Suites Austin Nw Lakeline,Austin,+1 512-219-1800,,https://www.choicehotels.com/texas/round-rock/woodspring-hotels,invalid_no_email,2026-09-09,Has website,
usa-hotel-020,Extended Stay America - Austin - Metro,Austin,,,,invalid_no_email,2026-09-09,No website / OTA dependent,
usa-hotel-021,The Kimberly Hotel,New York,,reservations@kimberlyhotel.com,https://www.kimberlyhotel.com/,sent,2026-09-10,Found via Serper live search,
usa-hotel-022,Contact,New York,+1 (212) 265-7400,reservations@hotelatfifthavenyc.com,https://www.hotelatfifthavenuenyc.com/contact,sent,2026-09-10,Found via Serper live search,
usa-hotel-023,Virgin Hotels New York Contact Us,New York,+1 (877)499-5277,info.newyork@virginhotels.com,https://virginhotels.com/new-york/contact-us/,sent,2026-09-10,Found via Serper live search,
usa-hotel-024,Contact Radio Hotel NYC,New York,,info@theradiohotel.com,https://www.theradiohotel.com/contact-us/,sent,2026-09-10,Found via Serper live search,
usa-hotel-025,Boutique Hotel in SoHo NYC,New York,,info@nomosoho.com,https://www.nomosoho.com/,sent,2026-09-10,Found via Serper live search,
usa-hotel-026,Contact Us,New York,+1 (212) 842-5500,stay@slh.com,https://slh.com/contact-us,sent,2026-09-10,Found via Serper live search,
usa-hotel-027,Hotels in New York City,New York,+1 (212) 842-5500,talktous@themusehotel.com,https://www.themusehotel.com/contact-us,sent,2026-09-10,Found via Serper live search,
usa-hotel-028,South Beach Group Hotels,Miami,+1 786-276-4000,bookings@southbeachgroup.com,https://southbeachgroup.com/,sent,2026-09-10,Found via Serper live search,
usa-hotel-029,Mid Beach Miami Hotels,Miami,+1 (305) 538-4900,reservations@circa39.com,https://www.circa39.com/contact/,sent,2026-09-10,Found via Serper live search,
usa-hotel-030,Luxury Boutique Hotel Close to South Beach,Miami,+1 786 257 4500,info@esmehotel.com,https://www.esmehotel.com/,sent,2026-09-10,Found via Serper live search,
usa-hotel-031,Miami Beach Hotel Reservations,Miami,+1 305 699 7830,sales@lennoxhotels.com,https://www.lennoxmiamibeach.com/about/contact,sent,2026-09-10,Found via Serper live search,
usa-hotel-032,Casa Boutique Hotel Miami,Miami,+1 (786) 216 7780,frontdesk@casamiamihotel.com,https://www.casamiamihotel.com/,sent,2026-09-10,Found via Serper live search,
usa-hotel-033,Contact Aventura Hotel Koreatown Downtown Los Angeles ...,Los Angeles,,info@theaventurahotel.com,https://www.theaventurahotel.com/Contact-Aventura-Koreatown-Boutique-Downtown-Los-Angeles-California.php,sent,2026-09-10,Found via Serper live search,
usa-hotel-034,Contact Us,Los Angeles,+1 (310) 786-2227,info@liveaustinproper.com,https://www.properhotel.com/contact-us/,sent,2026-09-10,Found via Serper live search,
usa-hotel-035,Los Angeles Best Boutique Hotels: I Tested 14 to Find 10 Best,Los Angeles,,info@swankguide.com,https://www.youtube.com/watch?v=6Fk17YOkbDQ,sent,2026-09-10,Found via Serper live search,
usa-hotel-036,New West Los Angeles Boutique Hotel,Los Angeles,+1-310-474-4576,guestservices@oliviahotel.com,https://www.oliviahotel.com/,sent,2026-09-10,Found via Serper live search,
usa-hotel-037,Book our Boutique Hotel in Downtown Los Angeles,Los Angeles,+1 213 725 5900,hello.DTLA@thehox.com,https://thehoxton.com/downtown-la/,sent,2026-09-10,Found via Serper live search,
usa-hotel-038,Cara Hotel I Los Feliz,Los Angeles,,dine@carahotel.com,https://www.carahotel.com/,sent,2026-09-10,Found via Serper live search,
usa-hotel-039,HOTELBEDS USA,Las Vegas,,Email-Support@hotelbedssupportusa.com,https://www.yelp.com/biz/hotelbeds-usa-las-vegas,sent,2026-09-10,Found via Serper live search,
usa-hotel-040,Privacy Notice,Las Vegas,,privacy@wynnresorts.com,https://www.wynnlasvegas.com/wynns-independent-contractor-privacy-notice,sent,2026-09-10,Found via Serper live search,
usa-hotel-041,Las Vegas Hotel Reservations,Las Vegas,+1-702-489-7500,frontdesk@tblv.vegas,https://www.thunderbirdhotellasv,sent,2026-09-10,Found via Serper live search,
usa-hotel-042,Orlando Hotel Suites,Orlando,+1-407-313-4300,reservations@stayskysuitesidriveorlando.com,https://www.stayskysuitesidriveorlando.com/contact/,sent,2026-09-10,Found via Serper live search,
usa-hotel-043,Contact CFHLA,Orlando,+1 407-313-5000,cfhla_info@cfhla.org,https://www.cfhla.org/contact-cfhla/,sent,2026-09-10,Found via Serper live search,
usa-hotel-044,How To Pick a Boutique Hotel For Your Vacation,Orlando,+1 (407) 313-7777,info@staydh.com,https://staydh.com/travel/how-to-book-boutique-vacation-hotel,sent,2026-09-10,Found via Serper live search,
usa-hotel-045,Email address for La Quinta inn on McCoy Rd by the airport,Orlando,+1-407-204-0638,LQ0171gm@LaQuinta.com,,sent,2026-09-10,Found via Serper live search,
usa-hotel-046,Contact Us,Orlando,,stay@slh.com,https://slh.com/contact-us,sent,2026-09-10,Found via Serper live search,
usa-hotel-047,Contact Us,Austin,+1 (512) 478-4500,austincambriafd@pyramidglobal.com,https://www.cambriahotelaustin.com/contact-us,sent,2026-09-10,Found via Serper live search,
usa-hotel-048,Frame Hotel,Austin,,stay@framehotel.com,https://framehotel.com/,sent,2026-09-10,Found via Serper live search,
usa-hotel-049,Contact Hotel Viata Austin,Austin,,reservations@hotelviata.com,https://www.hotelviata.com/contact/,sent,2026-09-10,"Found via Serper live search | Hotel VIA replied 2026-09-15 - real interest, waiting for follow-up",
usa-hotel-050,Contact,Austin,+1 (512) 478-4500,stay@framehotel.com,https://framehotel.com/contact,sent,2026-09-10,Found via Serper live search,
usa-hotel-051,"The State Hotel, Seattle: Downtown Seattle Hotels Near Pike ...",Seattle,,info@statehotel.com,https://www.statehotel.com/,sent,2026-09-10,Found via Serper live search,
usa-hotel-052,Executive Hotel Pacific Downtown Seattle,Seattle,,frontdesk.seattle@executivehotels.net,https://executivehotelseattle.com/contact/,sent,2026-09-10,Found via Serper live search,
usa-hotel-053,Contact,Seattle,+1 833 623 0111,stay@collegeinnseattle.com,https://www.collegeinnseattle.com/contact,sent,2026-09-10,Found via Serper live search,
usa-hotel-054,Harry's Guest House,Seattle,+1 (206) 432-9285,info@harrysguesthouse.com,https://www.harrysguesthouse.com/,sent,2026-09-10,Found via Serper live search,
usa-hotel-055,Did you know there is a one of a kind tiny home hotel in ...,Seattle,+1 833 623 0111,Sales@ForeverTinyHomes.com,https://www.facebook.com/groups/1086821614720060/posts/8362780980457384/,sent,2026-09-10,Found via Serper live search,
usa-hotel-056,Contact Us,Seattle,+1 (800) 492-9520,reservations@edgewaterhotel.com,https://www.edgewaterhotel.com/contact-us/,sent,2026-09-10,Found via Serper live search,
usa-hotel-057,Contact Info,Seattle,+1 833 623 0111,info@innatthemarket.com,https://www.innatthemarket.com/pike-place-market-hotel/contact/,sent,2026-09-10,Found via Serper live search,
usa-hotel-058,Catbird Hotel,Denver,+1 720-990-5555,info@catbirdhotel.com,https://www.catbirdhotel.com/,sent,2026-09-10,Found via Serper live search,
usa-hotel-059,Hotels,Denver,,sarai.aragonl@hilton.com,https://www.du.edu/comm-govt/community/resources/visitors/hotels,sent,2026-09-10,Found via Serper live search,
usa-hotel-060,Contact Us,Denver,+1-800-819-5053,reservations@therallyhotel.com,https://www.therallyhotel.com/contact,sent,2026-09-10,Found via Serper live search,
usa-hotel-061,Hotels & Resorts,Denver,+1-888-293-5041,info@bestchamber.com,https://web.bestchamber.com/Hotels-Resorts?xsort=true,sent,2026-09-10,Found via Serper live search,
usa-hotel-062,The Curtis Hotel,Denver,+1 303-571-0300,info@thecurtis.com,https://www.thecurtis.com/,sent,2026-09-10,Found via Serper live search,
usa-hotel-063,Clayton Hotel™ Denver,Denver,,sm@claytondenver.com,https://www.claytondenver.com/,sent,2026-09-10,Found via Serper live search,
usa-hotel-064,Populus Denver: Boutique Hotel in Downtown Denver,Denver,,info@populusdenver.com,https://populusdenver.com/,sent,2026-09-10,Found via Serper live search,
usa-hotel-065,Contact Us At Our San Francisco Hotel,San Francisco,+1 833 602 7111,caprimotelsfo@gmail.com,https://www.sfmotelcapri.com/contact-us,sent,2026-09-10,Found via Serper live search,
usa-hotel-066,Contact Us in San Francisco,San Francisco,+1 415 772 5000,info@hotelviasf.com,https://www.hotelviasf.com/info/contact,sent,2026-09-10,Found via Serper live search,
usa-hotel-067,Contact Us,San Francisco,+1 415 278 3700,reservations@beihotelsf.com,https://beihotelsf.com/contact,sent,2026-09-10,Found via Serper live search,
usa-hotel-068,"Luxury Boutique Hotel in San Francisco CA, Market Street",San Francisco,+14242441729,sfp.frontdesk@properhotel.com,https://www.properhotel.com/san-francisco/,sent,2026-09-10,Found via Serper live search,
usa-hotel-069,"Stay at FOUND Hotel, Nob Hill",San Francisco,+1 (415)-757-0054,guide@carlton.foundhotels.com,https://www.foundhotels.com/nob-hill/,sent,2026-09-10,Found via Serper live search,
usa-hotel-070,Boutique Hotels San Francisco,San Francisco,+14242441729,reservations@hoteldrisco.com,https://hoteldrisco.com/contact/,sent,2026-09-10,Found via Serper live search,
usa-hotel-071,"Luxury & Boutique Hotels in San Francisco, USA",San Francisco,+14242441729,contact@slh.com,https://slh.com/americas/usa/san-francisco,sent,2026-09-10,Found via Serper live search,
usa-hotel-072,Contact Harborside Inn,Boston,,info@harborsideinnboston.com,https://www.harborsideinnboston.com/contact,sent,2026-09-10,Found via Serper live search,
usa-hotel-073,Boston Hotels,Boston,+1(800) 752-7077,info@envoyhotel.com,https://www.independentcollection.com/the-envoy,sent,2026-09-10,Found via Serper live search,
usa-hotel-074,"Hotel Name Hyatt Centric Faneuil Hall Boston, MA, USA ...",Boston,+1 617 720 1234,Sadie@BringBackDoors.com,https://www.instagram.com/reel/DTTci1siTfu/,sent,2026-09-10,Found via Serper live search,
usa-hotel-075,Contact our Boutique Hotel Boston,Boston,+18558556001,sales@whitneyhotelboston.com,https://www.whitneyhotelboston.com/contact-us,sent,2026-09-10,Found via Serper live search,
usa-hotel-076,FOUND Hotel Copley Square,Boston,+1 (202) 234-7800,guide@copleysquarehotel.com,https://www.foundhotels.com/copley-square/,sent,2026-09-10,Found via Serper live search,
usa-hotel-077,Boston Hotel Contact and Location,Boston,+1(800) 752-7077,CambriaInfo@cambriaboston.com,https://www.cambriaboston.com/contact-location,sent,2026-09-10,Found via Serper live search,
usa-hotel-078,Hotel Belleclaire,New York,,belleclairesales@triumphhotels.com,https://www.hotelbelleclaire.com/,sent,2026-09-10,Has website,
usa-hotel-079,Hotel Churchill,New York,+1 973-636-9400,reservations@empirehotelnyc.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-080,Greenpoint Branch YMCA,New York,+1 212-912-2260,wsyrooms@ymcanyc.org,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-081,West Side YMCA,New York,,wsyrooms@ymcanyc.org,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-082,Country Inn & Suites by Carlson,New York,,,,invalid_no_email,2026-09-10,No website / OTA dependent,
usa-hotel-083,Amsterdam Inn,New York,+1(212) 354-8844,americana@newyorkhotel.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-084,Conrad,New York,+1 212-945-0100,conradconcierge_newyorkdowntown@ConradHotels.com,https://www.conradnewyork.com/,sent,2026-09-10,Has website,
usa-hotel-085,The Frederick Hotel,New York,,info@triumphny.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-086,Latham,New York,+1 518-362-8991,frontdesk@hielatham.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-087,Mandarin Oriental,New York,+1-212-805-8800,MONYC-RESERVATIONS@MOHG.COM,https://www.mandarinoriental.com/en/new-york/manhattan,sent,2026-09-10,Has website,
usa-hotel-088,Hotel 99,New York,+1 212-222-3799,info@hotel99.com,https://www.hotel99.com/,sent,2026-09-10,Has website,
usa-hotel-089,"The Standard, East Village",New York,+1-212-475-5700,sev.sales@standardhotels.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-090,New York Loft Hostel,New York,,,https://nylofthostel.com/,invalid_no_email,2026-09-10,Has website,
usa-hotel-091,Tempo,New York,+1-212-262-8100,EmailNYCTE_FO@hilton.com,https://www.hilton.com/en/hotels/nyctepo-tempo-new-york-times-square/,sent,2026-09-10,Has website,
usa-hotel-092,Clarion Hotel Park Avenue,New York,+1 212-804-8880,hello@hotelparkave.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-093,Fitzpatrick Grand Central Hotel,New York,+1 212-351-6800,reservations@fitzpatrickhotels.com,https://www.fitzpatrickhotels.com/fitzpatrick-grand-central.shtml,sent,2026-09-10,Has website,
usa-hotel-094,adour alan ducasse,New York,,,,invalid_no_email,2026-09-10,No website / OTA dependent,
usa-hotel-095,St Regis,New York,+1-212-753-4500,stregisny.res@stregis.com,http://www.stregisnewyork.com/,sent,2026-09-10,Has website,
usa-hotel-096,TRYP,New York,+1 (212)-600-2440,help@tryphotelnyc.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-097,Night Hotel,New York,+1-212-866-6400,info@nighthotels.com,https://www.nighthotelbroadway.com,sent,2026-09-10,Has website,
usa-hotel-098,Floral Inn,Los Angeles,+1 (310) 273-2222,tla@stayinglevel.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-099,Proper,Los Angeles,+14242441729,Dtlap.info@properhotel.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-100,HollywoodHostels,Los Angeles,+1-800-557-7038,incominghotel@gmail.com,http://www.ushostel.com/,sent,2026-09-10,Has website,
usa-hotel-101,Hollywood Highland Hotel & Hostel,Los Angeles,,,https://www.yelp.com/biz/hollywood-highland-hotel-and-hostel-los-angeles,invalid_no_email,2026-09-10,Has website,
usa-hotel-102,Rodeway Inn,Los Angeles,,laconventioninn17@aol.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-103,Long Beach Motel,Los Angeles,,,,invalid_no_email,2026-09-10,No website / OTA dependent,
usa-hotel-104,Luxe Rodeo Drive Hotel,Los Angeles,,,https://www.luxehotels.com/rodeodrive,invalid_no_email,2026-09-10,Has website,
usa-hotel-105,Tradewinds Airport Hotel,Los Angeles,+1-888-385-6609,,,invalid_no_email,2026-09-10,No website / OTA dependent,
usa-hotel-106,Hostelling International - Los Angeles/Santa Monica,Los Angeles,+1 (310) 393 9913,reserve@hilosangeles.org,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-107,Venice Admiral Suites,Los Angeles,,reservations@innatvenicebeach.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-108,Koryu,Los Angeles,,info@thehoteljune.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-109,Ray W. Suites,Los Angeles,+1 310-208-8765,loewshotelsreservations@loewshotels.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-110,Venice Beach Hostel,Los Angeles,+1 310 452 3052,hollywood@samesun.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-111,Jolly Roger Hotel,Los Angeles,,,,invalid_no_email,2026-09-10,No website / OTA dependent,
usa-hotel-112,Oakwood At The Village Redondo Beach,Los Angeles,,reservations@theredondo.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-113,Knights Inn,Los Angeles,,Development@Sonesta.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-114,Lawrence Motel,Los Angeles,,booking@wilshiremotel.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-115,Maison Los Angeles 1st unit,Los Angeles,+1 213-358-0000,frontdesk@hometelsuites.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-116,Banana Bungalow West Hollywood,Los Angeles,,hollywood1@bananabungalows.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-117,Timens House,Los Angeles,+1-818-980-9930,spartakmt@yahoo.com,https://www.northhollywoodboardinghouse.com/,sent,2026-09-10,Has website,
usa-hotel-118,City Suites Hotel,Chicago,,info@chicagocitysuites.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-119,Majestic Inn,Chicago,+1 312-332-5052,EmailCHITD_Hampton@Hilton.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-120,Club Quarters Central Loop Hotel,Chicago,+1 (203) 905-2100,guestservices@clubquarters.com,https://www.centralloophotel.com/,sent,2026-09-10,Has website,
usa-hotel-121,The Ritz-Carlton Chicago,Chicago,+1-312-266-1000,Jeremy.Roberts@ritzcarlton.com,https://www.ritzcarlton.com/en/hotels/chicago,sent,2026-09-10,Has website,
usa-hotel-122,The Royal Sonesta Chicago River North,Chicago,+1-312-755-9703,FrontDesk_RSRiverNorth@sonesta.com,https://www.sonesta.com/royal-sonesta/il/chicago/royal-sonesta-chicago-river-north/,sent,2026-09-10,Has website,
usa-hotel-123,Holiday Inn Chicago Mart Plaza,Chicago,+1-312-8365000,hivocoinfo@firsthospitality.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-124,Irving Hotel - SRO,Chicago,+1 888 712 2712,info@chicagoriverhotel.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-125,Urban Holiday Lofts,Chicago,+1 312 352 6949,info@urbanholidayusa.com,www.urbanholidayusa.com,sent,2026-09-10,Has website,
usa-hotel-126,Courtyard Chicago Downtown/River North,Chicago,+1 312-329-2500,cy.chiwb@eccmarriott.com,https://www.marriott.com/hotels/travel/chiwb-courtyard-chicago-downtown-river-north/,invalid_non_hotel,2026-09-10,Has website,
usa-hotel-127,City Scene Bed & Breakfast,Chicago,+1-773-549-1743,host@cityscenebb.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-128,"The Langham, Chicago",Chicago,+1 (312) 923 9988,tlchi.info@langhamhotels.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-129,IHSP Chicago Hostel,Chicago,+1 304 268 8981,,,invalid_no_email,2026-09-10,No website / OTA dependent,
usa-hotel-130,Baumhart Lodging at Loyola University Chicago,Chicago,,loyolalodging@luc.edu,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-131,State and Grand by BridgeStreet,Chicago,,,,invalid_no_email,2026-09-10,No website / OTA dependent,
usa-hotel-132,Residence Inn Chicago Downtown/River North,Chicago,+1 312-494-9301,chirn@whitelodging.com,https://www.marriott.com/chirn,sent,2026-09-10,Has website,
usa-hotel-133,SpringHill Suites Chicago Downtown/River North,Chicago,+1 312-644-4071,chinr@whitelodging.com,https://www.marriott.com/chinr,sent,2026-09-10,Has website,
usa-hotel-134,Hyatt Place Chicago / River North,Chicago,+1 312-755-1600,hyattchizd@whitelodging.com,https://www.hyatt.com/en-us/hotel/illinois/hyatt-place-chicago-river-north/chizd,sent,2026-09-10,Has website,
usa-hotel-135,Aloft Chicago City Center,Chicago,+1 312-661-1000,aloft3370@whitelodging.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-136,Grand Plaza,Chicago,+1 847-432-0411,,https://www.grandplazapenthouse.com/,invalid_no_email,2026-09-10,Has website,
usa-hotel-137,Manilow Suites at The Grand Plaza,Chicago,,stay@manilowsuites.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-138,Coast Hotel,San Francisco,+1 415 278 3700,info@hotelviasf.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-139,Hotel Abri,San Francisco,+1-415-392-8800,abrfrontdesk@metwestterra.com,https://hotelabrisf.com/,sent,2026-09-10,Has website,
usa-hotel-140,Hotel Union Square,San Francisco,+1 415-771-1400,reservations@chancellorhotel.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-141,The Andrews Hotel,San Francisco,+1-800-926-3739,frontdesk@andrewshotel.com,https://www.andrewshotel.com/,sent,2026-09-10,Has website,
usa-hotel-142,Herbert Hotel,San Francisco,,info@theherberthotel.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-143,Star Motel,San Francisco,,starmotelsf@gmail.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-144,Edward II Inn,San Francisco,,,,invalid_no_email,2026-09-10,No website / OTA dependent,
usa-hotel-145,Hi Hostel Downtown,San Francisco,+1-415-788-5604,sfdowntown@hiusa.org,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-146,Backpackers Hostel Union Square,San Francisco,,SFDowntown@hiusa.org,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-147,Pacific Tradewinds Hostel,San Francisco,+1 415-433-7970,info@sanfranciscohostel.org,https://www.san-francisco-hostel.com/,sent,2026-09-10,Has website,
usa-hotel-148,Sunnyside Hotel,San Francisco,,,,invalid_no_email,2026-09-10,No website / OTA dependent,
usa-hotel-149,Courtyard,San Francisco,+1 415-673-4711,courtyardunionsquarefd@gmail.com,https://www.marriott.com/sfovn,sent,2026-09-10,Has website,
usa-hotel-150,The Fitzgerald Hotel,San Francisco,,,http://www.fitzgeraldhotel.com/,invalid_no_email,2026-09-10,Has website,
usa-hotel-151,Dakota Hotel,San Francisco,,,https://www.hostelworld.com/hosteldetails.php/DakotaHostel-SanFrancisco-15459,invalid_no_email,2026-09-10,Has website,
usa-hotel-152,Water's Edge,San Francisco,,watersedge@marinhotels.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-153,Mayflower Hotel,San Francisco,+1 415-673-7010,info@sfmayflowerhotel.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-154,Metro Hotel,San Francisco,+1 415-861-5364,stay@themetrohotelsf.com,https://www.metrohotelsf.com/,sent,2026-09-10,Has website,
usa-hotel-155,Handlery Union Square Hotel,San Francisco,+1 415 7817800,handlerysf@handlery.com,https://sf.handlery.com/,sent,2026-09-10,Has website,
usa-hotel-156,Hotel North Beach,San Francisco,,,https://www.hotelnorthbeach.com/,invalid_no_email,2026-09-10,Has website,
usa-hotel-157,Inn at Market,San Francisco,+14242441729,sfp.frontdesk@properhotel.com,https://innatmarket.com,sent,2026-09-10,Has website,
usa-hotel-158,Aero Motel,Seattle,,frontdesk.seattle@executivehotels.net,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-159,Adelaide Apartment,Seattle,,guestservicessea@stayinglevel.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-160,The Corona,Seattle,+1-206-854-4400,leasing@samis.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-161,HI-Seattle at American Hotels,Seattle,+1-206-512-4171,stay@americanhotelseattle.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-162,Best Western Pioneer Square Hotel,Seattle,+1-206-340-1234,,http://www.pioneersquare.com/,invalid_no_email,2026-09-10,Has website,
usa-hotel-163,Hotel Hotel Hostel,Seattle,+1-206-257-4543,hello@HotelHotel.co,https://hotelhotel.co,sent,2026-09-10,Has website,
usa-hotel-164,Moore Hotel,Seattle,,reservations@moorehotel.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-165,Pensione Nichols B&B,Seattle,+1-206-441-7125,info@pensionnichols.com,https://www.pensionenichols.com/,sent,2026-09-10,Has website,
usa-hotel-166,Staybridge Suites - South Lake Union,Seattle,+1-206-596-2301,IHGService@ihg.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-167,Belltown Inn,Seattle,+1-206-529-3700,info@belltown-inn.com,https://www.belltown-inn.com/,sent,2026-09-10,Has website,
usa-hotel-168,SpringHill Suites,Seattle,+1-206-254-0500,shs.seadt.gm@marriott.com,https://www.marriott.com/seadt,sent,2026-09-10,Has website,
usa-hotel-169,Ontario Hotel,Seattle,+1-206-841-4005,reservations@edgewaterhotel.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-170,Courtyard,Seattle,+1-206-625-1111,cy.seatc.gm@marriott.com,https://www.marriott.com/seaps,sent,2026-09-10,Has website,
usa-hotel-171,Green Tortoise Hostel,Seattle,+1-206-340-1222,info@greentortoise.net,https://greentortoise.net/,sent,2026-09-10,Has website,
usa-hotel-172,Grand Hyatt Seattle,Seattle,+1-206-774-1234,seattle.grand@hyatt.com,https://seattle.grand.hyatt.com/en/hotel/home.html,sent,2026-09-10,Has website,
usa-hotel-173,Hotel Seattle,Seattle,+1 833 623 0111,reservations@edgewaterhotel.com,,sent,2026-09-10,No website / OTA dependent,
usa-hotel-174,The Arctic Club Seattle,Seattle,+1-206-340-0340,,https://www.hilton.com/en/hotels/seaacdt-the-arctic-club-seattle/,invalid_no_email,2026-09-10,Has website,
usa-hotel-175,Courtyard by Marriott,Seattle,+1-206-734-4502,can.mehdigil@marriott.com,https://www.marriott.com/seang,sent,2026-09-10,Has website,
usa-hotel-176,College Inn,Seattle,+1-206-633-4441,stay@collegeinnseattle.com,https://www.collegeinnseattle.com/,sent,2026-09-10,Has website,
usa-hotel-177,Hyatt at Olive 8,Seattle,+1-206-695-1234,,https://olive8.hyatt.com/en/hotel/home.html,invalid_no_email,2026-09-10,Has website,
usa-hotel-178,Hampshire House,Boston,,events@hampshirehouse.com,,sent,2026-09-10,No website / OTA dependent,
